bin_left,bin_right,bin_center,centered_count,raw_count
-1.000000,-0.980000,-0.990000,0,0
-0.980000,-0.960000,-0.970000,0,0
-0.960000,-0.940000,-0.950000,0,0
-0.940000,-0.920000,-0.930000,0,0
-0.920000,-0.900000,-0.910000,0,0
-0.900000,-0.880000,-0.890000,0,0
-0.880000,-0.860000,-0.870000,0,0
-0.860000,-0.840000,-0.850000,0,0
-0.840000,-0.820000,-0.830000,0,0
-0.820000,-0.800000,-0.810000,0,0
-0.800000,-0.780000,-0.790000,0,0
-0.780000,-0.760000,-0.770000,0,0
-0.760000,-0.740000,-0.750000,0,0
-0.740000,-0.720000,-0.730000,0,0
-0.720000,-0.700000,-0.710000,0,0
-0.700000,-0.680000,-0.690000,0,0
-0.680000,-0.660000,-0.670000,0,0
-0.660000,-0.640000,-0.650000,0,0
-0.640000,-0.620000,-0.630000,0,0
-0.620000,-0.600000,-0.610000,0,0
-0.600000,-0.580000,-0.590000,0,0
-0.580000,-0.560000,-0.570000,0,0
-0.560000,-0.540000,-0.550000,0,0
-0.540000,-0.520000,-0.530000,0,0
-0.520000,-0.500000,-0.510000,0,0
-0.500000,-0.480000,-0.490000,0,0
-0.480000,-0.460000,-0.470000,0,0
-0.460000,-0.440000,-0.450000,0,0
-0.440000,-0.420000,-0.430000,0,0
-0.420000,-0.400000,-0.410000,0,0
-0.400000,-0.380000,-0.390000,0,0
-0.380000,-0.360000,-0.370000,0,0
-0.360000,-0.340000,-0.350000,0,0
-0.340000,-0.320000,-0.330000,0,0
-0.320000,-0.300000,-0.310000,0,0
-0.300000,-0.280000,-0.290000,1,0
-0.280000,-0.260000,-0.270000,2,0
-0.260000,-0.240000,-0.250000,24,0
-0.240000,-0.220000,-0.230000,97,0
-0.220000,-0.200000,-0.210000,334,0
-0.200000,-0.180000,-0.190000,961,0
-0.180000,-0.160000,-0.170000,2218,0
-0.160000,-0.140000,-0.150000,4125,0
-0.140000,-0.120000,-0.130000,7066,0
-0.120000,-0.100000,-0.110000,9966,0
-0.100000,-0.080000,-0.090000,12636,0
-0.080000,-0.060000,-0.070000,14813,0
-0.060000,-0.040000,-0.050000,16236,0
-0.040000,-0.020000,-0.030000,16270,0
-0.020000,0.000000,-0.010000,15674,0
0.000000,0.020000,0.010000,14097,0
0.020000,0.040000,0.030000,12577,0
0.040000,0.060000,0.050000,10833,0
0.060000,0.080000,0.070000,8957,0
0.080000,0.100000,0.090000,7430,0
0.100000,0.120000,0.110000,5935,0
0.120000,0.140000,0.130000,4767,0
0.140000,0.160000,0.150000,3777,0
0.160000,0.180000,0.170000,2898,0
0.180000,0.200000,0.190000,2135,0
0.200000,0.220000,0.210000,1590,0
0.220000,0.240000,0.230000,1211,0
0.240000,0.260000,0.250000,837,0
0.260000,0.280000,0.270000,643,0
0.280000,0.300000,0.290000,448,0
0.300000,0.320000,0.310000,325,0
0.320000,0.340000,0.330000,230,0
0.340000,0.360000,0.350000,157,0
0.360000,0.380000,0.370000,122,0
0.380000,0.400000,0.390000,93,1
0.400000,0.420000,0.410000,61,16
0.420000,0.440000,0.430000,33,121
0.440000,0.460000,0.450000,29,587
0.460000,0.480000,0.470000,26,2202
0.480000,0.500000,0.490000,19,6111
0.500000,0.520000,0.510000,18,13350
0.520000,0.540000,0.530000,8,22184
0.540000,0.560000,0.550000,10,28670
0.560000,0.580000,0.570000,8,29930
0.580000,0.600000,0.590000,3,26679
0.600000,0.620000,0.610000,0,20192
0.620000,0.640000,0.630000,0,13628
0.640000,0.660000,0.650000,0,7964
0.660000,0.680000,0.670000,0,4224
0.680000,0.700000,0.690000,0,2084
0.700000,0.720000,0.710000,0,957
0.720000,0.740000,0.730000,0,437
0.740000,0.760000,0.750000,0,187
0.760000,0.780000,0.770000,0,97
0.780000,0.800000,0.790000,0,44
0.800000,0.820000,0.810000,0,22
0.820000,0.840000,0.830000,0,9
0.840000,0.860000,0.850000,0,4
0.860000,0.880000,0.870000,0,0
0.880000,0.900000,0.890000,0,0
0.900000,0.920000,0.910000,0,0
0.920000,0.940000,0.930000,0,0
0.940000,0.960000,0.950000,0,0
0.960000,0.980000,0.970000,0,0
0.980000,1.000000,0.990000,0,0
