bin_left,bin_right,bin_center,centered_count,raw_count
-1.000000,-0.980000,-0.990000,0,0
-0.980000,-0.960000,-0.970000,0,0
-0.960000,-0.940000,-0.950000,0,0
-0.940000,-0.920000,-0.930000,0,0
-0.920000,-0.900000,-0.910000,0,0
-0.900000,-0.880000,-0.890000,0,0
-0.880000,-0.860000,-0.870000,0,0
-0.860000,-0.840000,-0.850000,0,0
-0.840000,-0.820000,-0.830000,0,0
-0.820000,-0.800000,-0.810000,0,0
-0.800000,-0.780000,-0.790000,0,0
-0.780000,-0.760000,-0.770000,0,0
-0.760000,-0.740000,-0.750000,0,0
-0.740000,-0.720000,-0.730000,0,0
-0.720000,-0.700000,-0.710000,0,0
-0.700000,-0.680000,-0.690000,0,0
-0.680000,-0.660000,-0.670000,0,0
-0.660000,-0.640000,-0.650000,0,0
-0.640000,-0.620000,-0.630000,0,0
-0.620000,-0.600000,-0.610000,0,0
-0.600000,-0.580000,-0.590000,0,0
-0.580000,-0.560000,-0.570000,0,0
-0.560000,-0.540000,-0.550000,0,0
-0.540000,-0.520000,-0.530000,0,0
-0.520000,-0.500000,-0.510000,0,0
-0.500000,-0.480000,-0.490000,0,0
-0.480000,-0.460000,-0.470000,0,0
-0.460000,-0.440000,-0.450000,0,0
-0.440000,-0.420000,-0.430000,0,0
-0.420000,-0.400000,-0.410000,0,0
-0.400000,-0.380000,-0.390000,0,0
-0.380000,-0.360000,-0.370000,0,0
-0.360000,-0.340000,-0.350000,0,0
-0.340000,-0.320000,-0.330000,3,0
-0.320000,-0.300000,-0.310000,10,0
-0.300000,-0.280000,-0.290000,27,0
-0.280000,-0.260000,-0.270000,81,0
-0.260000,-0.240000,-0.250000,255,0
-0.240000,-0.220000,-0.230000,624,0
-0.220000,-0.200000,-0.210000,1176,0
-0.200000,-0.180000,-0.190000,2189,0
-0.180000,-0.160000,-0.170000,3728,0
-0.160000,-0.140000,-0.150000,5675,0
-0.140000,-0.120000,-0.130000,7668,0
-0.120000,-0.100000,-0.110000,9786,0
-0.100000,-0.080000,-0.090000,11861,0
-0.080000,-0.060000,-0.070000,13041,0
-0.060000,-0.040000,-0.050000,14171,0
-0.040000,-0.020000,-0.030000,14405,0
-0.020000,0.000000,-0.010000,13703,0
0.000000,0.020000,0.010000,13056,0
0.020000,0.040000,0.030000,11956,0
0.040000,0.060000,0.050000,10380,0
0.060000,0.080000,0.070000,9101,0
0.080000,0.100000,0.090000,7564,0
0.100000,0.120000,0.110000,6228,0
0.120000,0.140000,0.130000,5231,0
0.140000,0.160000,0.150000,4225,0
0.160000,0.180000,0.170000,3207,0
0.180000,0.200000,0.190000,2493,0
0.200000,0.220000,0.210000,1985,0
0.220000,0.240000,0.230000,1512,0
0.240000,0.260000,0.250000,1145,0
0.260000,0.280000,0.270000,840,0
0.280000,0.300000,0.290000,671,0
0.300000,0.320000,0.310000,475,0
0.320000,0.340000,0.330000,325,0
0.340000,0.360000,0.350000,240,0
0.360000,0.380000,0.370000,188,0
0.380000,0.400000,0.390000,135,4
0.400000,0.420000,0.410000,103,51
0.420000,0.440000,0.430000,79,221
0.440000,0.460000,0.450000,42,813
0.460000,0.480000,0.470000,29,2374
0.480000,0.500000,0.490000,24,5556
0.500000,0.520000,0.510000,28,10242
0.520000,0.540000,0.530000,17,16068
0.540000,0.560000,0.550000,8,21428
0.560000,0.580000,0.570000,6,25109
0.580000,0.600000,0.590000,4,25354
0.600000,0.620000,0.610000,0,22549
0.620000,0.640000,0.630000,0,18408
0.640000,0.660000,0.650000,0,13332
0.660000,0.680000,0.670000,0,8564
0.680000,0.700000,0.690000,0,4915
0.700000,0.720000,0.710000,0,2588
0.720000,0.740000,0.730000,0,1214
0.740000,0.760000,0.750000,0,512
0.760000,0.780000,0.770000,0,255
0.780000,0.800000,0.790000,0,89
0.800000,0.820000,0.810000,0,42
0.820000,0.840000,0.830000,0,11
0.840000,0.860000,0.850000,0,1
0.860000,0.880000,0.870000,0,0
0.880000,0.900000,0.890000,0,0
0.900000,0.920000,0.910000,0,0
0.920000,0.940000,0.930000,0,0
0.940000,0.960000,0.950000,0,0
0.960000,0.980000,0.970000,0,0
0.980000,1.000000,0.990000,0,0
