bin_left,bin_right,bin_center,codebleu_count,token_count
0.000000,0.020000,0.010000,2,2
0.020000,0.040000,0.030000,102,492
0.040000,0.060000,0.050000,1069,3177
0.060000,0.080000,0.070000,5474,10429
0.080000,0.100000,0.090000,15450,20323
0.100000,0.120000,0.110000,28245,27778
0.120000,0.140000,0.130000,37871,30554
0.140000,0.160000,0.150000,37676,27826
0.160000,0.180000,0.170000,26022,19840
0.180000,0.200000,0.190000,13353,11474
0.200000,0.220000,0.210000,5670,8226
0.220000,0.240000,0.230000,2930,5959
0.240000,0.260000,0.250000,1680,4620
0.260000,0.280000,0.270000,1068,3486
0.280000,0.300000,0.290000,976,2480
0.300000,0.320000,0.310000,979,1471
0.320000,0.340000,0.330000,673,788
0.340000,0.360000,0.350000,258,381
0.360000,0.380000,0.370000,110,186
0.380000,0.400000,0.390000,67,75
0.400000,0.420000,0.410000,12,68
0.420000,0.440000,0.430000,4,26
0.440000,0.460000,0.450000,5,18
0.460000,0.480000,0.470000,0,10
0.480000,0.500000,0.490000,2,4
0.500000,0.520000,0.510000,1,4
0.520000,0.540000,0.530000,0,3
0.540000,0.560000,0.550000,1,0
0.560000,0.580000,0.570000,0,0
0.580000,0.600000,0.590000,0,0
0.600000,0.620000,0.610000,0,0
0.620000,0.640000,0.630000,0,0
0.640000,0.660000,0.650000,0,0
0.660000,0.680000,0.670000,0,0
0.680000,0.700000,0.690000,0,0
0.700000,0.720000,0.710000,0,0
0.720000,0.740000,0.730000,0,0
0.740000,0.760000,0.750000,0,0
0.760000,0.780000,0.770000,0,0
0.780000,0.800000,0.790000,0,0
0.800000,0.820000,0.810000,0,0
0.820000,0.840000,0.830000,0,0
0.840000,0.860000,0.850000,0,0
0.860000,0.880000,0.870000,0,0
0.880000,0.900000,0.890000,0,0
0.900000,0.920000,0.910000,0,0
0.920000,0.940000,0.930000,0,0
0.940000,0.960000,0.950000,0,0
0.960000,0.980000,0.970000,0,0
0.980000,1.000000,0.990000,0,0
