codebleu_bin_center,token_bin_center,count
0.010000,0.150000,1
0.010000,0.230000,1
0.030000,0.070000,1
0.030000,0.090000,6
0.030000,0.110000,27
0.030000,0.130000,28
0.030000,0.150000,15
0.030000,0.170000,12
0.030000,0.190000,5
0.030000,0.210000,4
0.030000,0.230000,2
0.030000,0.250000,2
0.050000,0.050000,16
0.050000,0.070000,69
0.050000,0.090000,134
0.050000,0.110000,220
0.050000,0.130000,218
0.050000,0.150000,145
0.050000,0.170000,109
0.050000,0.190000,63
0.050000,0.210000,50
0.050000,0.230000,23
0.050000,0.250000,16
0.050000,0.270000,4
0.050000,0.310000,1
0.050000,0.330000,1
0.070000,0.030000,18
0.070000,0.050000,174
0.070000,0.070000,490
0.070000,0.090000,895
0.070000,0.110000,1010
0.070000,0.130000,962
0.070000,0.150000,700
0.070000,0.170000,516
0.070000,0.190000,321
0.070000,0.210000,189
0.070000,0.230000,106
0.070000,0.250000,51
0.070000,0.270000,27
0.070000,0.290000,9
0.070000,0.310000,5
0.070000,0.350000,1
0.090000,0.030000,36
0.090000,0.050000,389
0.090000,0.070000,1465
0.090000,0.090000,2669
0.090000,0.110000,3049
0.090000,0.130000,2650
0.090000,0.150000,1927
0.090000,0.170000,1256
0.090000,0.190000,792
0.090000,0.210000,532
0.090000,0.230000,328
0.090000,0.250000,172
0.090000,0.270000,96
0.090000,0.290000,54
0.090000,0.310000,22
0.090000,0.330000,8
0.090000,0.350000,5
0.110000,0.030000,39
0.110000,0.050000,613
0.110000,0.070000,2245
0.110000,0.090000,4562
0.110000,0.110000,5655
0.110000,0.130000,5128
0.110000,0.150000,3658
0.110000,0.170000,2461
0.110000,0.190000,1375
0.110000,0.210000,993
0.110000,0.230000,598
0.110000,0.250000,399
0.110000,0.270000,249
0.110000,0.290000,142
0.110000,0.310000,82
0.110000,0.330000,33
0.110000,0.350000,6
0.110000,0.370000,3
0.110000,0.390000,2
0.110000,0.410000,1
0.110000,0.470000,1
0.130000,0.010000,1
0.130000,0.030000,86
0.130000,0.050000,711
0.130000,0.070000,2587
0.130000,0.090000,5035
0.130000,0.110000,6841
0.130000,0.130000,7242
0.130000,0.150000,5737
0.130000,0.170000,3663
0.130000,0.190000,2050
0.130000,0.210000,1391
0.130000,0.230000,907
0.130000,0.250000,684
0.130000,0.270000,429
0.130000,0.290000,268
0.130000,0.310000,133
0.130000,0.330000,73
0.130000,0.350000,27
0.130000,0.370000,3
0.130000,0.390000,3
0.150000,0.030000,90
0.150000,0.050000,648
0.150000,0.070000,2048
0.150000,0.090000,4037
0.150000,0.110000,5836
0.150000,0.130000,7040
0.150000,0.150000,6548
0.150000,0.170000,4409
0.150000,0.190000,2314
0.150000,0.210000,1472
0.150000,0.230000,1046
0.150000,0.250000,810
0.150000,0.270000,634
0.150000,0.290000,371
0.150000,0.310000,211
0.150000,0.330000,88
0.150000,0.350000,50
0.150000,0.370000,19
0.150000,0.390000,3
0.150000,0.410000,1
0.150000,0.430000,1
0.170000,0.010000,1
0.170000,0.030000,95
