technique,learning_rate,checkpoint,similarity_score,baseline_similarity_score,average_similarity_score_reduction,average_similarity_score_reduction_percent,utility_pass_at_1,baseline_utility_pass_at_1,utility_retention,utility_retention_percent,unlearningeval_file,utilityeval_file
ga,1e-6,4,0.9030845656704207,0.9005944852858712,-0.0024900803845495645,-0.2764929638403405,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-1e-6-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-1e-6_subfolder_checkpoint-4.eval_results.json
ga,1e-6,8,0.9079556602287411,0.9005944852858712,-0.007361174942869919,-0.8173684230959174,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-1e-6-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-1e-6_subfolder_checkpoint-8.eval_results.json
ga,1e-6,12,0.9005437736398343,0.9005944852858712,5.071164603687173e-05,0.005630907901992602,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-1e-6-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-1e-6_subfolder_checkpoint-12.eval_results.json
ga,1e-5,4,0.8439151269470652,0.9005944852858712,0.056679358338805996,6.293549345998333,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-1e-5-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-1e-5_subfolder_checkpoint-4.eval_results.json
ga,1e-5,8,0.592671218983976,0.9005944852858712,0.30792326630189515,34.19111168598291,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-1e-5-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-1e-5_subfolder_checkpoint-8.eval_results.json
ga,1e-5,12,0.41486594670119215,0.9005944852858712,0.485728538584679,53.934211958948055,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-1e-5-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-1e-5_subfolder_checkpoint-12.eval_results.json
ga,5e-5,4,0.23020803308014715,0.9005944852858712,0.670386452205724,74.43821421945823,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-5e-5-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-5e-5_subfolder_checkpoint-4.eval_results.json
ga,5e-5,8,0.07973762246737996,0.9005944852858712,0.8208568628184912,91.14611251010835,0.98,0.99,0.98989898989899,98.98989898989899,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-5e-5-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-5e-5_subfolder_checkpoint-8.eval_results.json
ga,5e-5,12,0.05344359821444673,0.9005944852858712,0.8471508870714244,94.06574223053538,0.82,0.99,0.8282828282828283,82.82828282828282,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-5e-5-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-5e-5_subfolder_checkpoint-12.eval_results.json
ga,1e-4,4,0.0820954988635114,0.9005944852858712,0.8184989864223597,90.88429918183962,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-1e-4-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-1e-4_subfolder_checkpoint-4.eval_results.json
ga,1e-4,8,0.05076208680240693,0.9005944852858712,0.8498323984834643,94.36349126807126,0.65,0.99,0.6565656565656566,65.65656565656566,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-1e-4-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-1e-4_subfolder_checkpoint-8.eval_results.json
ga,1e-4,12,0.020645963003382766,0.9005944852858712,0.8799485222824884,97.70751838472238,0.24,0.99,0.24242424242424243,24.242424242424242,unlearningeval/qwen2.5coder-3b-unlearned-ga-lr-1e-4-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-ga-lr-1e-4_subfolder_checkpoint-12.eval_results.json
npo,1e-6,4,0.9015661513784325,0.9005944852858712,-0.0009716660925613851,-0.10789163252015185,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-1e-6-checkpoint4/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-1e-6_subfolder_checkpoint-4.eval_results.json
npo,1e-6,8,0.8929261468781181,0.9005944852858712,0.00766833840775305,0.8514751681295193,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-1e-6-checkpoint8/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-1e-6_subfolder_checkpoint-8.eval_results.json
npo,1e-6,12,0.9020994209663454,0.9005944852858712,-0.001504935680474273,-0.16710469640468306,0.99,0.99,1.0,100.0,unlearningeval/qwen2.5coder-3b-unlearned-npo-lr-1e-6-checkpoint12/aggregate_results.json,utilityeval/Qwen--Qwen2.5-Coder-3B_hf_temp_0.0_peft_dbaysal--qwen2.5coder-3b-unlearned-npo-lr-1e-6_subfolder_checkpoint-12.eval_results.json
