repo_id,model,method,variant,duration_seconds,duration_hours,gpu_energy_kwh,total_energy_kwh,gpu_count,gpu_model,timestamp,codecarbon_rows,status,error
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-ga,qwen2_5_coder_3b,ga,standard,17.084643979906105,0.004745734438862807,0.0004544584191243928,0.001883757718024552,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:40:46,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-npo,qwen2_5_coder_3b,npo,standard,29.624614774016663,0.008229059659449074,0.0007876253523200205,0.0032666266533504696,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:42:15,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-prod,qwen2_5_coder_3b,prod,standard,29.60204387200065,0.008222789964444624,0.0008026423087841295,0.0032797580706426226,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:43:39,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-ga_gd,qwen2_5_coder_3b,ga_gd,standard,30.940250220010057,0.008594513950002793,0.001431370033980528,0.004020185893529368,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:44:58,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-ga_kl,qwen2_5_coder_3b,ga_kl,standard,46.77224559802562,0.012992290443896005,0.002274917653267039,0.006184126901175943,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:46:40,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-npo_gd,qwen2_5_coder_3b,npo_gd,standard,44.16321937297471,0.012267560936937419,0.0017927564342024027,0.005488338722766931,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:48:19,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-npo_kl,qwen2_5_coder_3b,npo_kl,standard,59.22235166199971,0.016450653239444363,0.002618458483656383,0.007573293865662891,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:50:13,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-prod_gd,qwen2_5_coder_3b,prod_gd,standard,43.90467833005823,0.012195743980571732,0.0018008389406674041,0.005474651522707056,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:51:51,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-prod_kl,qwen2_5_coder_3b,prod_kl,standard,59.102778647094965,0.016417438513081934,0.0026193279287944904,0.00756502426416364,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:53:44,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-ga,meta_llama3_2_3b,ga,standard,13.645645232056268,0.0037904570089045187,0.0003935497592841841,0.0015354137039444602,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:54:40,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-npo,meta_llama3_2_3b,npo,standard,23.20736419595778,0.006446490054432717,0.0006541269121917992,0.0025959937308752995,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:55:56,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-prod,meta_llama3_2_3b,prod,standard,23.36135821591597,0.006489266171087769,0.0006617049738082414,0.002616490557261788,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:57:12,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-ga_gd,meta_llama3_2_3b,ga_gd,standard,25.6224944969872,0.0071173595824964445,0.0012999424288437922,0.0034437128061213435,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:58:18,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-ga_kl,meta_llama3_2_3b,ga_kl,standard,37.003207215922885,0.01027866867108969,0.00196976324247089,0.005065852750139001,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T15:59:48,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-npo_gd,meta_llama3_2_3b,npo_gd,standard,35.24367171397898,0.009789908809438606,0.0015794334857659464,0.004528294108529457,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:01:16,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-npo_kl,meta_llama3_2_3b,npo_kl,standard,46.55682869604789,0.012932452415568858,0.002233210675456121,0.0061247767869858916,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:02:55,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-prod_gd,meta_llama3_2_3b,prod_gd,standard,34.71793523407541,0.00964387089835428,0.0015739759814010768,0.0044786794944288765,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:04:22,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-prod_kl,meta_llama3_2_3b,prod_kl,standard,46.80020111007616,0.013000055863910044,0.0022575018059995955,0.006173431765400785,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:06:01,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-ga_gd-retain-first,qwen2_5_coder_3b,ga_gd,retain-first,31.22428889910225,0.008673413583083957,0.0014934786947833345,0.004106109684861966,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:07:15,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-ga_kl-retain-first,qwen2_5_coder_3b,ga_kl,retain-first,47.621242591994815,0.013228122942220782,0.0023928141364706335,0.006377538180283197,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:08:58,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-npo_gd-retain-first,qwen2_5_coder_3b,npo_gd,retain-first,42.750985954888165,0.011875273876357824,0.0018112811712462928,0.005388664988187969,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:10:35,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-npo_kl-retain-first,qwen2_5_coder_3b,npo_kl,retain-first,59.98128066305071,0.01666146685084742,0.002724806346510178,0.007743370766885697,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:12:29,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-prod_gd-retain-first,qwen2_5_coder_3b,prod_gd,retain-first,42.15690790791996,0.011710252196644432,0.0017997942176144477,0.005327437269690444,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:14:09,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-prod_kl-retain-first,qwen2_5_coder_3b,prod_kl,retain-first,59.89854174107313,0.01663848381696476,0.0027251694023533446,0.007737199365804472,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:16:05,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-ga_gd-retain-first,meta_llama3_2_3b,ga_gd,retain-first,26.640831171069294,0.007400230880852582,0.0013659710927775848,0.003595086697907244,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:17:14,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-ga_kl-retain-first,meta_llama3_2_3b,ga_kl,retain-first,38.279407321009785,0.010633168700280495,0.0020830624997785208,0.005286121320609236,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:18:46,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-npo_gd-retain-first,meta_llama3_2_3b,npo_gd,retain-first,34.57084927603137,0.009603013687786491,0.0015997621131411677,0.0044924356605921065,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:20:20,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-npo_kl-retain-first,meta_llama3_2_3b,npo_kl,retain-first,46.50307930097915,0.012917522028049765,0.002310083514732497,0.006201238175191033,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:22:00,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-prod_gd-retain-first,meta_llama3_2_3b,prod_gd,retain-first,34.14331036002841,0.009484252877785669,0.0015942621087425835,0.004451202366413359,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:23:28,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-prod_kl-retain-first,meta_llama3_2_3b,prod_kl,retain-first,46.47368728998117,0.012909357580550325,0.0023270782505484533,0.006215780716498955,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:25:17,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-ga_gd-forget-first,qwen2_5_coder_3b,ga_gd,forget-first,30.836878339992836,0.0085657995388869,0.0013654249812233843,0.003945649505056377,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:26:40,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-ga_kl-forget-first,qwen2_5_coder_3b,ga_kl,forget-first,43.924190188990906,0.012201163941386362,0.0020924400072850347,0.005767959949857314,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:28:20,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-npo_gd-forget-first,qwen2_5_coder_3b,npo_gd,forget-first,44.18766527494881,0.01227435146526356,0.0017258749918092064,0.005423481477402854,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:30:14,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-npo_kl-forget-first,qwen2_5_coder_3b,npo_kl,forget-first,58.62713891395833,0.016285316364988426,0.0024699319759449168,0.007375808422849021,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:32:29,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-prod_gd-forget-first,qwen2_5_coder_3b,prod_gd,forget-first,43.754133154056035,0.012153925876126676,0.0017274977708865435,0.0053887584390031945,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:34:09,1,ok,
dbaysal/new-secret-unlearning-qwen2_5_coder_3b-prod_kl-forget-first,qwen2_5_coder_3b,prod_kl,forget-first,58.37208529294003,0.016214468136927784,0.00247688475928598,0.007360995006940362,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:36:16,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-ga_gd-forget-first,meta_llama3_2_3b,ga_gd,forget-first,25.48504102905281,0.00707917806362578,0.0012342998763266166,0.003366819996931713,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:37:29,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-ga_kl-forget-first,meta_llama3_2_3b,ga_kl,forget-first,35.46664407802746,0.009851845577229849,0.001812163949729495,0.004779631216199664,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:39:03,1,ok,
dbaysal/new-secret-unlearning-meta_llama3_2_3b-npo_gd-forget-first,meta_llama3_2_3b,npo_gd,forget-first,35.65414418198634,0.00990392893944065,0.001512556487821115,0.004494519786097752,1,1 x NVIDIA A100 80GB PCIe,2026-07-31T16:40:37,1,ok,
